"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Foxn2",0.000571001454079998,0.963217989452145,0.27,0.212,1,"2","Foxn2"
"Kcng4.2",0.000575917899031677,-0.696926126339675,0.201,0.306,1,"2","Kcng4"
"Ilk.1",0.000598592198471298,0.428453544739608,0.659,0.742,1,"2","Ilk"
"Gm26782",0.000608789748448529,-0.311359847638792,0.188,0.311,1,"2","Gm26782"
"Tst.1",0.000621590028430301,0.590095869373814,0.56,0.597,1,"2","Tst"
"Lrrc28",0.000622256470838174,1.25369007867956,0.253,0.203,1,"2","Lrrc28"
"Synm",0.00062335558682658,1.07082435041364,0.307,0.27,1,"2","Synm"
"Srsf1.2",0.00062943174184063,-0.32536677803567,0.526,0.725,1,"2","Srsf1"
"Trappc5.2",0.000629576494692553,-0.268569225215503,0.396,0.605,1,"2","Trappc5"
"Ppib.1",0.000634515007219115,0.266481561446146,0.836,0.908,1,"2","Ppib"
"Mindy2.2",0.000651797109800351,-0.252358859252382,0.416,0.617,1,"2","Mindy2"
"Osbpl1a.2",0.000653451552045759,0.274761517233843,0.788,0.84,1,"2","Osbpl1a"
"Synj2.2",0.000653494558551744,0.899753731217083,0.321,0.281,1,"2","Synj2"
"Ilvbl.1",0.000658960617490595,0.868093520286779,0.416,0.411,1,"2","Ilvbl"
"Timp4.1",0.000694518539358351,-0.42167956019115,0.539,0.729,1,"2","Timp4"
"Irf2bp2.1",0.00073079951779889,0.555038525152455,0.532,0.586,1,"2","Irf2bp2"
"Slc7a11",0.000742850719832553,-0.332489813064514,0.218,0.351,1,"2","Slc7a11"
"Med17",0.000771613145737905,-0.264578453256982,0.171,0.294,1,"2","Med17"
"Mon1a",0.00077414803812944,-0.284113714655408,0.177,0.303,1,"2","Mon1a"
"Fcho2",0.000826648887123889,0.927660014770711,0.328,0.295,1,"2","Fcho2"
"Ift43.1",0.000836276222817701,0.854153250821721,0.365,0.341,1,"2","Ift43"
"Ogdhl",0.000935977783130305,-0.259679737869367,0.218,0.357,1,"2","Ogdhl"
"Adgrg1.2",0.000952166918183257,0.471960091143555,0.584,0.612,1,"2","Adgrg1"
"Lcat.1",0.000957719733508427,-0.349236506968792,0.334,0.487,1,"2","Lcat"
"Cdc42ep4.2",0.000988752369704207,-0.370280295377333,0.355,0.519,1,"2","Cdc42ep4"
"Amotl2.1",0.00100161526826207,0.945271652415097,0.287,0.245,1,"2","Amotl2"
"Polb.1",0.00104822886494101,-0.278392716339946,0.461,0.661,1,"2","Polb"
"Bhlhe41",0.00106268318547599,0.730983067569456,0.454,0.471,1,"2","Bhlhe41"
"Dhrs1",0.00114760175253155,0.408541129635533,0.618,0.686,1,"2","Dhrs1"
"Rexo2",0.00115554205642354,0.468306146356656,0.594,0.674,1,"2","Rexo2"
"Cstb.1",0.00119063281716152,0.368709334566922,0.662,0.754,1,"2","Cstb"
"Itprid2",0.00124076987502315,0.75474881370578,0.406,0.404,1,"2","Itprid2"
